Q02,1,D00882,1
Q02,1,D00260,1
Q02,1,D00747,1
Q02,1,D00579,1
Q02,1,D00066,1
Q03,1,L00057,1
Q03,1,L00446,1
Q03,1,L00165,1
Q03,1,L00153,1
Q03,1,L00308,1
Q04,1,D00642,1
Q04,1,D00755,1
Q04,1,T00182,1
Q04,1,C00146,1
Q04,1,L00317,1
Q05,1,D00819,1
Q05,1,D00142,1
Q05,1,D00038,1
Q05,1,D00348,1
Q05,1,D00233,1
Q06,1,C00132,1
Q06,1,M00194,1
Q06,1,C00157,1
Q06,1,C00409,1
Q06,1,M00174,1
Q07,1,D00628,1
Q07,1,D00038,1
Q07,1,D00769,1
Q07,1,D00695,1
Q07,1,D00405,1
Q08,1,S00112,1
Q08,1,S00192,1
Q08,1,S00006,1
Q08,1,S00766,1
Q08,1,S00026,1
Q09,1,P_1174,1
Q09,1,D00278,1
Q09,1,P_1582,1
Q09,1,C00543,1
Q09,1,P_1973,1
Q10,1,M00105,1
Q10,1,S00087,1
Q10,1,S00092,1
Q10,1,C00054,1
Q10,1,D00475,1
Q11,1,C00104,1
Q11,1,D00587,1
Q11,1,D00886,1
Q11,1,D00396,1
Q11,1,D00642,1
Q12,1,L00103,1
Q12,1,S00052,1
Q12,1,L00146,1
Q12,1,S00518,1
Q12,1,S00680,1
Q13,1,C00142,1
Q13,1,L00308,1
Q13,1,L00165,1
Q13,1,L00446,1
Q13,1,L00353,1
Q14,1,C00016,1
Q14,1,D00348,1
Q14,1,C00611,1
Q14,1,D00546,1
Q14,1,D00937,1
Q15,1,D00699,1
Q15,1,D00050,1
Q15,1,M00342,1
Q15,1,S00239,1
Q15,1,C00281,1
Q16,1,C00132,1
Q16,1,D00050,1
Q16,1,T00664,1
Q16,1,D00860,1
Q16,1,D00649,1
Q17,1,C00161,1
Q17,1,C00122,1
Q17,1,C00173,1
Q17,1,C00162,1
Q17,1,C00148,1
Q18,1,C00455,1
Q18,1,S00391,1
Q18,1,C00676,1
Q18,1,C00265,1
Q18,1,C00109,1
Q19,1,D00050,1
Q19,1,S00239,1
Q19,1,S00251,1
Q19,1,D00278,1
Q19,1,L00053,1
Q20,1,P_1582,1
Q20,1,P_1174,1
Q20,1,P_1973,1
Q20,1,D00035,1
Q20,1,D00871,1
Q21,1,D00073,1
Q21,1,D00718,1
Q21,1,D00050,1
Q21,1,D00300,1
Q21,1,D00860,1
Q22,1,M00272,1
Q22,1,D00587,1
Q22,1,C00048,1
Q22,1,C00550,1
Q22,1,M00042,1
Q23,1,L00254,1
Q23,1,L00291,1
Q23,1,L00199,1
Q23,1,S00741,1
Q23,1,L00389,1
Q24,1,D00259,1
Q24,1,D00316,1
Q24,1,D00220,1
Q24,1,D00180,1
Q25,1,T00044,1
Q25,1,T00039,1
Q25,1,T00673,1
Q25,1,T00399,1
Q26,1,C00280,1
Q26,1,C00592,1
Q26,1,S00071,1
Q26,1,S00569,1
Q26,1,D00227,1
Q27,1,C00132,1
Q27,1,D00050,1
Q27,1,C00543,1
Q27,1,C00269,1
Q27,1,C00861,1
Q28,1,S00766,1
Q28,1,C00049,1
Q28,1,C00018,1
Q28,1,S00001,1
Q28,1,C00414,1
Q29,1,C00419,1
Q29,1,C00319,1
Q29,1,C00764,1
Q29,1,C00795,1
Q29,1,C00603,1
Q30,1,C00073,1
Q30,1,C00064,1
Q30,1,C00030,1
Q30,1,C00071,1
Q30,1,C00098,1
Q31,1,P_2051,1
Q31,1,P_1582,1
Q31,1,P_1174,1
Q31,1,P_1954,1
Q31,1,L00455,1
Q32,1,T00673,1
Q32,1,D00226,1
Q34,1,S00071,1
Q34,1,C00961,1
Q34,1,C00600,1
Q34,1,C00505,1
Q34,1,C00224,1
Q38,1,C00132,1
Q38,1,C00543,1
Q38,1,C00281,1
Q38,1,C00861,1
Q38,1,C00269,1
Q39,1,T01038,1
Q39,1,T01039,1
Q39,1,T01152,1
Q39,1,T00399,1
Q40,1,L00254,1
Q40,1,D00073,1
Q40,1,D00220,1
Q40,1,D00445,1
Q40,1,D00446,1
